   18.3012701892    68.3012701892    50.0000000000 
   61.6025403784    93.3012701892    50.0000000000 

   -6.6987298108   111.6025403784    50.0000000000 
   36.6025403784   136.6025403784    50.0000000000 

   -6.6987298108   111.6025403784   100.0000000000 
   36.6025403784   136.6025403784   100.0000000000 

   18.3012701892    68.3012701892   100.0000000000 
   61.6025403784    93.3012701892   100.0000000000 

   18.3012701892    68.3012701892    50.0000000000 
   61.6025403784    93.3012701892    50.0000000000 
